,CO_NLST,NO2_NLST,O3_NLST,SO2_NLST,HCHO_NLST,CO_NDVI,NO2_NDVI,O3_NDVI,SO2_NDVI,HCHO_NDVI,CO_NTL,NO2_NTL,O3_NTL,SO2_NTL,HCHO_NTL
6-2018,0.2657361065673997,0.33043010735191836,0.2545466195212774,-0.07163511540584748,0.2532178162762669,0.14167346646469817,0.07748970264627884,-0.06015852337888775,-0.06221294363256783,0.08769634416816044,0.0640506252197275,0.3970472962122231,-0.007135068441193489,0.013155764564950368,-0.08068535453712906
7-2018,-0.19579097421822297,0.021474318750806343,-0.0670286672735043,-0.08535510820310975,0.17913474934195292,0.0933455657359624,-0.008925281327298843,0.13755387393174448,-0.02847603505223547,-0.09567977725597765,-0.4205624492173479,-0.08461001024857466,-0.2856131335470252,0.1660500319201136,0.03404392463880448
8-2018,-0.1952382603704971,-0.029708995983286936,0.15789643969387304,0.16865359788411163,-0.036075714159970136,0.25324133351273226,0.09653645901291892,0.24222609473131393,0.03186472163507654,0.0474917425856883,-0.10014764616660855,0.2767289672804996,-0.07544661582601066,0.15695250246069553,-0.11239143070149894
9-2018,0.4910964240296182,0.3702812395637905,0.2951734354091554,-0.13635866475114908,0.2416863788471304,0.06810077300682728,-0.24320662858797756,0.019489505691471804,0.06917933671587116,-0.18525970164801062,-0.03543895589824609,0.41055257429916636,-0.07107159946092433,-0.06122292197448774,0.19670582337596948
10-2018,0.3520110859859171,-0.1072620757902595,0.27782423854444466,-0.00871976440869969,0.0006971601439242358,-0.19187431889554427,-0.14477395735224544,-0.06196234743755257,-0.06380387935711525,-0.12301485683531611,0.07253091573018212,0.553950972009427,-0.20414889507302814,0.02858975082357128,0.2683741031862117
11-2018,0.25584627797446713,-0.03261418235322202,0.29210300099238184,-0.11103444459394356,0.041027630328256626,-0.1929800637421404,-0.09936143386039001,-0.06127999853732002,0.08690087630588673,-0.0746742607389789,0.1330891229207029,0.6911230083463903,-0.2236711700048387,0.12039310066449942,0.2610879387497341
12-2018,0.45339291837204154,-0.028159518921523095,0.3340222378900907,-0.0889403816856844,0.07608257848341356,-0.25506121988376684,0.07103188381894018,-0.2511864268938459,0.04749597437488877,-0.03955366559750693,-0.043926188915750494,0.7962699490883206,-0.4428270750639944,-0.02298512580349741,0.2726831496664482
1-2019,0.17992981740372133,-0.06840405123286124,0.3731016627676335,0.1142189202210079,-0.0033565683878836274,0.2352129349519746,0.26697359797568565,-0.23257414311694063,0.056739287062877876,0.16658991575484267,0.15310320357293214,0.7512831001870667,-0.389355422549577,-0.02522178915707099,0.2664367032843024
2-2019,0.35545152105694905,-0.02437271863159128,0.5557240675808099,-0.07060761982473882,-0.09233894244332656,0.25404960525002274,0.08917443218069522,-0.16306424740690345,-0.01534804838562667,0.021083967378330636,0.18541345665562783,0.7652027569564103,-0.1912882212644275,-0.032289745181185686,0.5154587259493314
3-2019,0.12437304415383746,0.16579954774109262,0.05468231198920134,0.0323596239567012,0.07079392705697507,0.3615422592980004,0.12715984010347267,0.15126801765632664,-0.012093259953385213,0.26321251394320283,0.299379771613592,0.7668522866852719,-0.26664959483331085,-0.07248338751470274,0.3924622068672173
